Connected to /dev/tty.usbmodem1101 - 2 loops 0 phase difference
H_min: 0.0000 | R:   69 | Data: 48346cbcfd20042986987efd3e9a971a5dc8b00bd6eaf07a9c50ca56bdbfe73f56a617efd949d8ee82c5154b91b3f3e1d256ed0d84ea3a6155c74c6b2c2d67022b2d0345de58f482c2169e1e3f5cbe57d02c18c6168dade79a6b34eb2d0c929e603753a20c4effb98666116075506d04cd92ad7a650cc4f31caab32af598aa35
H_min: 0.0000 | R:   72 | Data: 9260ab053837eedd693d3429ba45f4cc1101645dda49bc583bf7752c7592e8b43561009304eef0c2c0fdf38359bc5f7a3fe032c3643b683d790a7e0c9e3802b16fb6fc0729b7860ec4f0991b103509668c0f94a4e5f67aa07baa5148321d6980453188fe220ff1ba8fa24f803804ada3de4d1d1ad49c76fcb15fc1b1653d93ad
H_min: 0.0000 | R:   74 | Data: 35d6a7d0ae4e91169263edc3fec3524cc71fa62e5c82e9d2e3cb93933aa42cfad5e41484ce197e0aac47264efeda8cf78f26c51336ea5a65ec5942697c1011372ed8d7bcc893254858de2542aa11b71848c1a021a447ea71324e8f9de620f3b2ec1cbc5d5be1cb2b97982d04af5253d87fa0da94dff2b91c000343701699933b
H_min: 0.0000 | R:   71 | Data: 6fe93ef623c9ac664db4111d8d33e9486a64975b16642300c0da0edf0a74401bd11ca847c63367e1e1164e6c77d6ed88fed2f142de33e3cf54a8303a31599f49210125acfb72d97ecaeaca76ad1b7fe7b7c92bf457eada4a89d86dc08508518827282fe0249f639c1b309749f90c092e5c31fdeb105a1757752ee4a61f397089
H_min: 0.0000 | R:   70 | Data: 3fd3d77797143c69e0ce2e34a77089ec5e7ab4b35ef35c7a92123da4cd09bc80ec7dcf92f207b36e18b92f000973f858d1e6548c8ea3630971cbab58e44e008ffc12291c557ad2d032d2175975ba35b044a70ad466bd91849b5c071a6ef135cb17bfcd73ea66f95ddd0705a57af268304a42e6ed77b0210481341222a72f2a55
H_min: 0.0000 | R:   76 | Data: d9a3d2e1acb5f4b399eb9618cf5ea1282798680be08b3867751952e118497fcd0348085f3532ec2c4ca11e61e994599211b7987b82432279bb6508631e5f4c97884a4ddc0546ad2b4abecf28f86396235fdb79962e43296a63533f6dc0fe6e5ee8c3aa9f54028fca160f51ecf08f1513c630767f900206e9bfa94dc699cb78b2
H_min: 0.0000 | R:   75 | Data: b5b10035ffbaa2c985f8878e30b16e288df8b3ca0832ce5bd7f9e98c859ac0bd99e082f27e820f4c7da40b6329e2785b7c9c53c5d25f985f35fdf9bf71d450696a55cc0cb5016e11d699bed7109ab0b0cdef7de515741845a3fb78b3c98fcd01f6846d529754d3907d4b4bfe21d1dbb6918f7d3e84c27021c8997284c64fa9ba
H_min: 0.0000 | R:   72 | Data: 639181365d0744a00142769e21d911389ce651885422195b26a9e4096f9036d05283fbb6f0d500f3f901f5e4c6b6419c6213c771214538bee3db457203a17c381a82fd77bf76fbe6f5b1e84fb02661ad6256416fb5ccd4f2548039ac83ae5a978750ddaab28caa087111d4f766e15c183b6a05bd8b4953f88c84979837e58315
H_min: 0.0000 | R:   75 | Data: bac723071a8c826a14df4e353e61fa8807b2f6851f3ffdc89aff57a081c582e739f935a113f64cf59bc34b735400c03fe12518c6390651ff8296a079a2fa0d1023918aa4132f3bf2aaef6ed84ce6c1adbf530cef39a92aebcfb4b923c42654324f320fd9f948de914afa9520ef4f297964dd62ccae1968bfdda19db316f2cfab
H_min: 0.0000 | R:   65 | Data: 9aee14b4d3afbfe403e0d9faa847ad6f257fe540610c89fb93c513823f958a44757e28c5594133a6da77e93dd7c1f6fe414f5dcf1ba1bfa7958367ce38acf98eccd3aae5c0e27f2b0c7d7e9cbf7748911f10599524634c09211b669ec0f7e09a8359fcbc57bf123d9fcbb8f6cdaf4694fc9d3810b839b08a0431917611ab2856
H_min: 0.0000 | R:   70 | Data: 5ca5929a2e45dee7cac8ba5c78a6dadb64ef83ec2cb6e41406c79382c065ea19ce2d72e4e0ef8e760470692a054ace687ce9a366b75412f3c01dbaab19e4e2d60601aebcdf68a82d2e315acbe459282117ad36b85aac7a06a5a8e9e448993da42e5e425c6dd84c655877ba62a64c5ef8cfcbfb0e67f921158bea4c91f6b2b383
H_min: 0.0000 | R:   69 | Data: c6f2919a1e8c3b1e29bf6fa592d715dbd1b9baf1c10281203eaa5e2ae7b7e64343722cadcc3f95835a37769ac39d7a4f3bd9283e25d9be4896cfec07443fe194281a0c6f3d44fcb616440686eab48b815ae36e671baf9c26e87599c4d97487fc54ef83566a40d763ab78457914885a071393b3500b5d505bc3f2e4cc1db3c1f0
H_min: 0.0000 | R:   72 | Data: bd57eb86f3e8e3d67cf20b2199f2cf131eb5619a3ae979cdd6d19cc3bf918e824fc0c512be5edc1236c14c437a670f60d15f0abdd2be7ca4c912458ff8cac6ed8debad89a48907661a7a250751ef07e6c99148fde6ac505efcc1d7b4ecf5f23961e83cf90791c6e8693cefe2703a029a88032a14eb954d7bcb0d1260925dc5d2
H_min: 0.0000 | R:   72 | Data: cc9e8b336f209fc7f62a5bbecaec71d680811321540b1b5ffe73d19489d26f991ce18b47d5defbf05f1dac5d0962e4112a0939a8e4b05e21eefe6dfe47270ad9253ad88fa1c3a72018e27bca87787f809770600787a7ee9426bd858e738b89c2da38580356bc39a1acf49503552df381221f7d72fb11f59afc7fee72f84d9b86
H_min: 0.0000 | R:   75 | Data: 73c77a658c89b3a2daeae6f0f21f38a608cdd80577b6e7f2626e38ef982fbcc94cd0a33969ae30887370c2134770046a0d563680f58ac811f621f22b3a179ddb8e38f7fa674902da686a38de06ee9fe757059157c287832bf6f8f640076047f5384a0de1294d24a01bc625ba205e1294b08eeb3363755be846e68b402940833b
H_min: 0.0000 | R:   74 | Data: ad2e63e8ad303af3e10864a9b42d165678d4f1f6e9fc14ef0f21eec8edaa2c04399160d182c2cd4257075ea73fc29f4a86daa8ed96f7f782a1f943a22af1e87930d8c93829fbbe2a52994b8fdde3f393a832130e044bf0c0dfcb5ece3792bf48ce7cff9442ad3bdad0050bd0e438e2c620a1b45b11069904f71381d4b16be35f
H_min: 0.0000 | R:   68 | Data: afa9789172c7a3bbbd27eac68026fb69458178f9dfa8cb0472f55886f2b25d1f130e2276c1564374bd442bebec3bbd0df3851bc9ccecaafdd1fd0e01efb27003df89619baa2cceebe7a93761fd9d4bd97f432cf4d71b7fc2d14993f65bd89ad13afc1d7d0138b0836295316f70cdc5833780a8d8d9f3ac0ab95e1bcf6337049d
H_min: 0.0000 | R:   74 | Data: b56583dbea0402e54c9739213fd48969d72dc069bc1cdcd2a1d1f2156e732668dead1106f4138e0ad97a4d71d2bcdf25d1cb965241c6727047f926b2b24b6a20607e6937d5a746f3850c5c6fa1b5924179cc3745b519e9578ae94f51f01897e62ebb542964967ec6eb41703c52d7c340b8431a1184a558f5ebd450aab77ff483
H_min: 0.0000 | R:   70 | Data: 47128e147adf6769d0ffe63d6abe22aa29d27d140c67a1acc93ac55c41b996d53840259c5007eedc9d89943cfe2d3957527e9fc1d3434cf86d67021a2df3f90c9d9e152c45cb89a18fb2aa881d71674daa8641ee21e41cf91da3dfddb226bd2535e245f09774ea73f3cdcd76431bdb9e01d77dd0ab87e6d0742237208cae20ef
H_min: 0.0000 | R:   69 | Data: 15c596f7ea1a50583a7fbd5800e1fbddbeeb0a81dd62b4f09aede95afbffbf068f5fb61a0afef9912d05b8857f5a88733de50c477912224b4bedbb3d4dfb74e166de91a497199647f518f2f556a0facfd94cbaddc19a3b76ad0da4f0ae60518fa0bcb90491b85cea3326fdb0354f30ff73a1ccadb580e3bcf057fa3ba4f8e0c9
H_min: 0.0000 | R:   71 | Data: 95f5ae2795133273f85a8493fa296da1fc2f22faec617575fa3e10f9fc4fa51516769a368ed874d5b0b202acf1990dfc1d9fabda415a2c3b957cdb7bb2f42768d959d8fec0cd9fc4fbed8cdd83d8ba42ae005372ad0aa9d2164cddbd36d52427325884a195261b15b8f1f7716b8b70f66b13b33d838ba0c7f7542225cd4cb59a
H_min: 0.0000 | R:   71 | Data: a06775e629e5d2df4229ca7b56798e6df9ab7a96fd2b6474c9d8b626342f3acc57117cbcdf9b965413bc1e01422c74cfacbfa23361528611aba3256bc468fbf00d7088b09d7fd6b11332f306104489968db5cce47a0229f374474d6aceb562fa8408a1196cad0cebf74ea0efd6e715e21adab62642391189848f3b55b6471b80
H_min: 0.0000 | R:   71 | Data: 90914b5d4423dfa67a7ad96a41a9a59cb5be0b367524c4a9b10b04315eb5ed2b3b840ca83f37acaac77fe60c7505d7a8da0eea0724526a64f71d242a6f72e7943cec4ef461426c319e69b7eebb418e06c9e3095e0a992084e0f9c0db9b20fc70ad3f08219889d0c32eae335f7a68c0361ee1da1849d0d234b8a28144fd72f389
H_min: 0.0000 | R:   72 | Data: 72619cde390dfd8fc847e1577146c937af18dbde84983e73d8a31bda62017277da2b9ec54a46c2ff0857c4d81b144e56d9aaeebde08157b90eab033adeb08c8b80bb0f85b32e1fcbef5fbe09df5e35668bf43658966068cb38558c102b69e0349b40f5d9c22b6187cf2284f00f1af11f8f6b5f9882d7e1a2b9a8f6cd909e97f5
H_min: 0.0000 | R:   74 | Data: cdc6c31dbbf224810f55056877c955a06fc590496d8df37354cf08fbdf57cbdee0c2633c6c6dbef927c141d8adbb2d9dd08ddc64cd2c048ce8e069f0c92c2c5ab116ca04b8310c4f1b62457c62b9244388163b635e895bc6f888cd3bfd7e984c8068bf0e1ca42fdedb3d7e7ae3f4c84f50c59c4f783fd0732480d62d90cd8d29
H_min: 0.0000 | R:   69 | Data: 050933da13873042c9f8fa1a84980b3d27b5284a5d171f3ba7b3af605fe7b9f9449621c53bd0c38b3a56719df1819097a049d557d97cb7b36127acd666ab1da40cc2fd660071d76f4b6784265b0b6206920fd0d95119b26fa7a2698db588e63a60c7222d4a2a0b664607a2e086044486435cfa40f249a586063dee4e82affb09
H_min: 0.0000 | R:   67 | Data: 260582f636de47bada600f25ce4c03fcd090aee60a6595f4ac77624791847e20d115c48f34d7721ff9dbc5d826227c3165feb02a970ab58e5a6ac6aa437b3ebb751e2824e6f7a1f070b81a829c66e7d6434dc576c637c0837d83e70f054e53941a8f99366acc944708463639dd5166a5fac06ec8b9d6915e9f7e407c658869c1
H_min: 0.0000 | R:   73 | Data: 21a418df211254e4f8e46eec4034a651ceca9a4cacd3a045a3e35ea6ae8a7b1d0ba7efecab22e9a8f599863d8484c90359f54b9d2a0920d47c306a5f8e4f5fb2a1768d6d6b94d24b5db7842d56daa263df5aeeb62ea85fb73fcf395330ff644105318394d37aada13c7b62295f916d933dfb19897c7ff2b9b2b7c8bcc7e50487
H_min: 0.0000 | R:   65 | Data: 239899f1004795512120add7a37ef44929ba4a130f06c15c4ffc9f16b1984a4b8a3b3fe833a437c4aa073bedd4fba3667ea39630882d00fc2a8a27c949569a9f1d648f734382c46720ca2fb9bb14e5a3633b2927cbdcede00ca3b44ed603a0d2ea90b6cb34745be079613cbc83084d65b571ea6072b36856e4f76bda9a10ad49
H_min: 0.0000 | R:   69 | Data: 65ad1411ed6e4520433c3b08ae59dabb656743e4b391bedf08b04b071de30316ee0f6a67c9e91c294cc165553adb8c433f5ad112a148f87e149315b3b35110d06d9e724ed633008ba99b5e1d3c58d9d9cf005eac0fb997cc0d41afe1f35ba2d193954ba0186e24a9503fcbb84f871f54e752906900c1e1a917b1c58f2b8ea815
H_min: 0.0000 | R:   71 | Data: 97564ea9039626365d383987d578473d4894b8a0ef31c35c64e534f49c687e1ad02fd3040af05f1c8272a5c5395a7b0c90fef9790ebab40c67f295024e907826bbbde2c43e6b28837dc37236916c1b89f814a5b8f343ab6f9a0280bc0436e2eb5233707812cc67faf834d0215b613db19f33fa56447acb1fb71aada86402d1e2
H_min: 0.0000 | R:   69 | Data: 043e9285059719cca04d74137333ad8efd0c12645f1dcdb7f3fbdeb2b6aff54d32880dfd5f3ddab784d8e7dfdb51de7c81eeb9abeea4462732d09f30b2607c856134a48b61b7f3b031594023a0a1e96875caa092b7e605293095665d75ef75c35ab134119816f573d806ad9f6e1fcf0b2759b7513b2ac6a12960e8712bba29a6
H_min: 0.0000 | R:   68 | Data: bfcb99d508e0144607a767be42e650c3c45fc03f6c4e31c3994e2f269364d6a00a89f66b8b884b1fe5354ba7f38e88f55cf27fbff841223578018f192295fa50b8bf1f95fde21729fc00f398fe73f3014126000be211a3c50e8703697d77ed1a2a080c9fec62234b623cb2437d6a86092ec6021c9c4b26f6c2c2636aa9fc5cf1
H_min: 0.0000 | R:   75 | Data: 76d1a929b529b2c4cd7c7f94167eb77bde8fdcd873311af9a422b59fab5ef27ca2e85dfb0cfff365352c6f0e23244e833b751e82891a47a6afe5edea4337d789ed39acc6898ad0110aef4fc9f8062c48eb35427180bdf577a4075b36d315fc02908289abde434c6f0b3c2cea170a4ae2f458ee993bdeffe6a089a5183251f9c2
H_min: 0.0000 | R:   66 | Data: c42765fdfffc9c8f1946a783180dc6ecbc26558ade165a2f959d0477ddcdad525cc4fb831d10490ee77bac7f70bf7cfb3ae6107bdd82396a5df8c71f4e70162aad6691a0dcb81f88f68f1f137457bca4b685b595094840e319848597731084e7d3efddb81a11fc9e1d73c0a2f24b0f78fff686da286b2819642fad1b061af2c6
H_min: 0.0000 | R:   75 | Data: 16fd6a7d8ce0dac2f5d5910fae9f473ccc80ae36bf3fb027fe4f853ae3b6969ce4077679fdc4b6612199f3710e5181d37308365d1964031d2f8b9801b21a93515739c2797825333f023bad4f9b9c96f89db0b5c6642491ed765c8cfeef21cecd0782cd3055725375eaa2315614337cbe913c474fbd557a394a53b7b54e5192c3
H_min: 0.0000 | R:   72 | Data: 8bc22e044ddb6502fa2433d87089efaf365a5947ea2f7600b2254755c3e96607a3c82dd4e7379957e27d043dcf7cfc6ce8b12ea8179864c86a762b7e5930e087b20bb1d39907a9bf04da5f02f54f34cda3200fdbdc0eb19fc977fe7079d774fbddc75fb8780a4afedb0d536738cf0766725a666198468fe55c44e2838254b6a8
H_min: 0.0000 | R:   71 | Data: ac31f8f9c1d9f31c0cc867bf579fe5249ecdf2266e33790433ad26fb5dbac8aa07790903127ce36732becaa57b16e422b1d9533ab4c049cbf515bda6a1ab3a639c8679ebebf2a266cf5f7fb1f798bcbbccdf2eb3d873ec7d119aa8d0c20cd2657290cab19f9fa7790bad5cfb7580fa5e146f770c84e59617bc137a9f310238ce
H_min: 0.0000 | R:   73 | Data: cb25f6fb4882298a0bed5e8f06afc8f78ccfefdfedfa20eb366384e6893fa2055fa79ea963ab54ed39aab0087b3fac5b9b39d9832cdae72ca050074561b0700d48a5eded3c8b8db8e5e61b04aa28f4d0546a8bafd6563da4b7dbf6d00eb9855460c0f7d8be49df533e97fa1cf0dc7e707ccfbd53c4ab11d22414fba66b146e71
H_min: 0.0000 | R:   67 | Data: c755eb406f8470b37b2ee31d90c4d91f5087e4ee98c7cc2e6d933a4cb5ac42875c829237d4fb87c08b1a6551ed29971c0372e7d33332ec243ceed6a3fc61f2d55b9e213552eea1269ae09f21b0684284b56136758d32922104b64e52546b7c6fd84e0de806144c0d03147bc3ab5bd2c7aa76ebd4f7f76c97bd83160a87abf4f6
H_min: 0.0000 | R:   65 | Data: d2262bc7b02f19f9fa3f470c25d3f845a75f24b9dae71912c48924fe8ba94d243c152aad9f50fcd601c08a974b5ec286e722ec9af78dcada025efa0892ab3d2236b1913d512677dcd3c52bf29f664d70f325f1725478bdbfcc90e2af5c59cf7a8c5a6946e7added5e3b4e00f574b6afe867004b680399bd2877a16f2409e1520
H_min: 0.0000 | R:   71 | Data: 5a1af525607aed462bfd07ea5db2802e1da3cf571de3db849a44d469b3959870cb2d4abc92a00cd11b873e4f1ee7987ad580571a74cfe65c093d43f9843550a148176422845cc812be133652258325a115ed8ca54561396366401d05a07aa6965677c945b404a50c5aa6cb22dcbcd1400efd5fb85ab48bb1511a161938f43768
H_min: 0.0000 | R:   74 | Data: 4900f765924b686b132ab0f4a46f7af2a524fee6d184f3a1498c525e0302931e27b98eef9fcf61445854e8cb5e3b725280657770b5198b5cfe3f081d09a3d36f50150a61db97f21b9dd99960dcae8463604be2d0eac5d8e0f55dd98d9e89c05ad70fda67f7ed646dbd906e9182406b4f7fee1bcb6bfc71d68a39611a926bff57
H_min: 0.0000 | R:   70 | Data: 85dd5665f2c294d43686a8a9692c39fc4a64843fee47ebca0f1f7a47e02c8cc7313a490276a438060e91684e348d75c81cd2aaa63227b9ffbfee8b66b902e9a42ae59059787957099213bc89452ff30e5dcb9c143e3c8c63312661dea8978dfcfe83d340cb725d3c7565eeb2d8f4c29d137d3afbf6c049b6eccbbaaa40caa8a2
H_min: 0.0000 | R:   74 | Data: 726a301badfbe8c29fca4b7da0b2d23db17532328cbb358e48a823be62c26190970265d1093b46e099bf28b3ce17afc3abff169b1f6a9ec5dc748617ad38d9a6629f625c1ef571e21951b704d10f9b8ffdabe6595e5601c6b0407b9aff657fa4bbfc007c2b0459b1a06442144fd63a225b1d87955cc15647c3fd8eff426397cb
H_min: 0.0000 | R:   69 | Data: dd7796c2236077c72cccea34e629f78a4c97db0504014edbb99b52229420c7f9c104935c0f36b70b9fd65d4adef27c5134d64debf406b1c79eef87bc3961d1ce8163f76cd5eadfd7b5834c6ede0bfaa157b06f2ca7feeed623a35381b87289b67f1468c7208f6d4ffd4a7fd6e529504aa4a975b14ef23ba580118faa0cd7d17f
H_min: 0.0000 | R:   75 | Data: 993c564d43815481b62af998b947cb718bd3428878a7859730aba3686b18530801b703fcd6a9605864f936d2391fe60161f617aadcfdb07ece56e144a11259f7014249194ee4a6c9d2b2d077cd3a3d6d72c8318fb1dd17d3ce284b3acda6ca09e8a28b069f18b5afc530de702d3f7e5855e3d4af25bb6b8c0171515a65ba598e
H_min: 0.0000 | R:   73 | Data: 6a8a56795c25f51fdb97d2c247c5c69fc3654085c7317cf5cbd7a0306d37d1bc92db0bfe51e573bca8b5a9670919e5b29f0c39e47777a705c3e40668bd2c4e7c3c4d501388625e0deff89ddc3e3ffea89aa37e31a31a324a4ce1061d7c964bb2d7eeb85d2840967f4a2a8b667223618b30dc987de990fad281489ebd8c2c8f3f
H_min: 0.0000 | R:   73 | Data: 3f625abb85bd162efbd91a9924e1e67e87f31501c388b7de05030abf1085de70a7061e9e6c642f8b4a0b25bcbbc483448aee63c0fc4714158730848f90af3b86804f73b1d6f4123ef3207fcdcefe57cabe0dab1bf670a8ade906ec696a3dd5f36d6880f046494e71b7946ef19fa0c16563945a67619ca842508b80d6b359762f
H_min: 0.0000 | R:   72 | Data: 8a67b4e404311beed2471d94da6a83aa7de63c07c1aa8907c01d63fcedf2940cad5c063da24833ede395b7519e251094b3e85e8ae788b87b3846ed252312e3555b9c2a830c3f850957a13bc9bb8cb22977a171013037ba0c24c962f5f6b1cf9a50aade7c8e7063a1085594637076c0a0f5b2d5983d6016c60e2d392e6045d646
H_min: 0.0000 | R:   71 | Data: c641262cb1f07e6f21be2c67b754e80da63ef6376201746bf2f9b164514004c31afc5e67a62dcbb382c4d3b943b59331b063f94ec47bb03e497bfa0c60ebfa819bae8c3e23177cc60f8b1f9252cadf594dddbc9f5178dbdda3518499a9bfce84aaf98e4c6929592c2666a500650ece980c8c89b9e9e8df5c6b1f9ddfde1caa64
H_min: 0.0000 | R:   71 | Data: 1c83f7401727a2e68b648db3ebb18542e89d87bc3f1f432ad37becfec9f6d417961e2c239cbadf403121a69f6547f77b8f1a8c4732b2c8b5169e8c8d0104f35cbef6f6ea7caf32e8b7132fae7dcf1e0ed7b93b5fe7f77f84dda08eaea1ad025a75fcee6cfbfe9a5b007e3decb5fc2547c7733c14ee3027944142c9646ec2cac9
H_min: 0.0000 | R:   69 | Data: afbc04518fd9238c8316c785f0f66256c8ea7f3db1d25c31547dbb97bfaf82950ce01973b2833e4df6da273e7b75b544b7bbc5e21c727b6f2c017058f701382c8a426ce139de690557e268fabec2ee2ed5fd3b15a2e7cacfd396adfc615064602b9cd41e171353ba6c6049b7ea58e770fb47cb1e783a2b6b932ab6d013487f66
H_min: 0.0000 | R:   70 | Data: 712288432917117d4089ce37e691e9d8f27d2d1e18eb770343cbfdb628756cd25d30099acb5e32590cb3a09c7d699e96271890101be045a320701e4d1cff730c315b83d66d5ca13740c53bf19508af7c81564fbb66a0c687f121cc0331fb024535a5d887eb9307a1fd84a9ced548279e7dfd3e88a2ee4706d62679258f104be2
H_min: 0.0000 | R:   71 | Data: edeff70d042b9564265f6f0dd9ea629fcd13d9fd84881c5b0a622d0c2a26c644852382da0fb10bb5c347148d62103db1583d9682683a3c54fc77c3945d20b641694fcc5fbaf888c5c3f6ec18916414b829fb9373d01a3a7f59687e07727ca26051a2d7102f0d7594563bcc56c6436882e63cf6fa3b92e36e5ccfcbe3d81d58b7
H_min: 0.0000 | R:   73 | Data: 83887601721742947c212860cc9989906a8a22edb822349d01200165044c2f52f66e782a23c912f7c96554ffe71688b416b2a503af6d4ce6f32dda567b5221efe195d5b13559216bd67b48cdf73fbb84b0d578f80ead9336105f853f0c586c3f667b0c4faacea9968a0dcaf7ee03b77149fc7ca9b17a5cd50f8c9cf9074ec98e
H_min: 0.0000 | R:   76 | Data: 2b019925e3c28c2f2a7eda0dbdccef7820e07f6e857178460fd43f9c846c8457bac0da79c2530450e0c2279503553dcc8b874c88f6e94777ea99353a86ec088c373ae179a912a386d977989f0cebde6a38d375588658e3b45bef7769efc075497b632205cc6194b24f5e2c4ba0e234d8b5704f78457a334e42d214fe6cd0ad0d
H_min: 0.0000 | R:   70 | Data: 9e433a240c075132dcd6ce484b9244fb448e992210c85b76a466f7cd1bde0e2c09a0e5a18124426d03f89c239db73537b6e6622df6f4d0ebac865506bb5892ca67116f286c3358d673f0e461868131b5dcbeb8f2de51ba9a8ebccf03b15d721599cbebf3489584374c1d7e65a370eeea58c1be4e38e8cc88372a21b856e72958
H_min: 0.0000 | R:   71 | Data: aeec89b4f72985e78f1d71446828ebe788c998b40aa19c13c6ccac222e1cd1b0fd31313cb37de9bb7cfb36262129c2d33037e9df764caa282e78d4a7bb578a1337be457d750a2649dbeec96fdae298900e00903121ce731fb1c7045cb8d02db3ce5f2497792060b85e6016811e4ac358aff026f367b370f3f3b24cb5f382ba33
H_min: 0.0000 | R:   72 | Data: 15e785cfec8b348bb3b1df90c5a62d8e0a0f4e7bb0cd338e8a2d56ea0eb2be155d8b4989fd876e9178b96d7e7274002acc6716aa90dd17e7a5f5f9a110cfa75afd77733f6d3dcaea4fa6b3d36dc64727b761b7b3da6d6a3fff0de06557c83dc8c0a6fc649e89c59b1da2f9a853c4c168e2a6795a177cfc28068cb78be1496b79
H_min: 0.0000 | R:   67 | Data: e9c345d868210c4b510c2f0cf270bd9fad3ea3bd26c59e36cc052fd36eb879805c286e0c209486e3fc03a60b770d729db3ccf3cc76a949f9eb1c128dbf05cf54dd52c115320706e6a48106a8c4e5e1701beff3ce275030f404299f07f142fed3de177b6d018e5868b6dd20d088fe4a4cf226c794cecb9c9fd884cedc9faab350
H_min: 0.0000 | R:   72 | Data: 9e12273d0faecd5e6f6b4bf143672941d422a010668d9d2ff312d8409cd5e6f2f60a7bbac530a017b70aa9e2c16273526f1f0cfe436a83e281d56cda533be340286e10240dca32762615680ed812045c4a645eb8a0aae3024b7e91fdb5d4f09df18b33a9eeea33a7ad5f757a5b1e5900a9f41afb408e23003de7dedd2825acc2
H_min: 0.0000 | R:   72 | Data: 832cfc45d3b26ae09cf406d874edf12794df8b10bd5680b009f70a985beab309b87416084fa35208ad93cc21417541528569561b031857d0094fa628132008cc57df08d1bca34f529dfaec665b1fced3f910e8c24665ade87866141f8417cff6814494da77fc998a9b727ad47dab52ab2916e85007ccfe1af0d0810438a8b51c
H_min: 0.0000 | R:   74 | Data: 608c105f41880beab83ea709532f0ab4c44b661785996c009663ed731d26db00dd29a8285860bc61b44848c396322da743ce3df386cf2ad85e355f6709256f8e18d72528c73389408f8467fb76b3dd46d96bad29f27d639422b434ac8fc1ea493822582ea4d75924168045fcba57f794a99e33664c8cf9a7d5ef35586f6b18fe
H_min: 0.0000 | R:   70 | Data: 2e53ab2ab437bb345a1b5520c47c55cc13257bcaf52992212e09150a048d33fa41b1121193ad4c7938866456e7a83dc4f69ee587ceebeb60e530b73e7009208f7eb45d8d0882f8be3dcbd342eb4d11af5e1dd8b05c58fa685a1b2ff7db3aaf5e611ef0da9d9ba2ceaa37cf178b008f0c0e09dd7d926a2e75c5d920052d938f92
H_min: 0.0000 | R:   67 | Data: 5e77ec92f8f715ca7e6e36095b1ecd24e3e22b44b7a884a029c90b98fc3e140de491b9852f4e740ae012209b12bef10c226feda18870db8fdb5a4bcb5f44782b88f52bcc4f251ab11fa0676e97e7e9058a34be8358cafa1898c59aab844555a15ead94f9c1eec3e17e292107a5460fe42fa50067e7e5af0320182020108a7caf
H_min: 0.0000 | R:   77 | Data: 620e08ac18d3cf70fa8406c2da165caeafbdb30e899e855dcd34739d6aeb0c3aa3a568cbcb1b5ea8070c4038ccdc4667c6a2bab6f8acf529b87c5be4575dba394fac5b4d292acddd6dd8b573033cf154283fa61921aeee276c3f68f1697f79286bfa33f64d311f448660f6c68e55b241a4f8226d5552ffef683c2f5177772f4e
H_min: 0.0000 | R:   69 | Data: fbaa804a237a245ad804a8f5cadb4039fc9f7365abfcdd33e0eaea75878e1b24ec9ebfc359d1005ef768d34a3da7edb7c94850a0c46933dcf3568ccbbdede11db281b05f60c6ce19d7a7920db36d7999fa7d60007352893dd8abcf0d6fdd30a80636b62757a6301ec62ac617f42c59f419f6124fda76ded3b312de91675e8c4d
H_min: 0.0000 | R:   71 | Data: 11a5d701193c239eb7126cb32ad42ca5ddee59c5a5cd738f13d2cc4684354704377fcf0e3d91e9cbbda2fa139c545bcef6b91650ce2eec6c3f1016ada16265bf94b3e041ea1ecb4db7bcddfb32df083b599a3948a1dc6b8f3a7c0effeaa25d40c8b66826d0339e61ac8ba5820ff5ce912e3c16e064622ef9752c4b9b77c77379
H_min: 0.0000 | R:   74 | Data: 4071219dd2143cadf0936e0a38dc3eddc009891e69eaeedd7f2453208fad090994444a5796148d6a8f95087413dfe81fc5a0ac3e9521de9a4bc335ce5c380222501e631761c05b7421692fdfd13d1079dc5d9cfaea2f5b644a3379ff254a79014ce635f8330869c126d298664a766e7d7b767093a599ca87058daedc5328ad96
H_min: 0.0000 | R:   74 | Data: 906a09746ed1c62b59c8ec485d84ae98e590aae934c371b1ef7297731b40d3c69f5edc8b2c0e6f9a766161df9db3141508e78bd3b72dcb378066ee36cacbb02aa98d5309fe2c6d627f8278c5fcd0bd1c4fca30cfa979480757694ec252313001d8a68b6335721ba1605e12993d21e8ff4b867d5b5ff6442a6de73d824e055936
H_min: 0.0000 | R:   74 | Data: 9ec722fefc79d17590753f56bd77060d60e8b1d99e6a8dbd83526baafe476bacaac468ad6773bf5e8dcb684cad2a89cb8afca33f4900f779d7ba117665c30f5ac95ff21e97711f4acf82d99444f682323bc6e6b0a3c85b5dc963df80f7b1ae29756bf35c64d1597f83ffb7b0d8b879a5870c1015638400e73f8fac522c96703f
H_min: 0.0000 | R:   68 | Data: 51ba7a8b4d62b99e02f1063a8e3653dbe3bd28fd226a26e2274dbc822afc620a72790ca26e7431c56be2324e94c8d0737eb18842ea00b934eaa9c6454f443db8cf0188f89fe346e4eaca74c3a246a62c200050bd2d316716253c7d3e9516fe2c7e21b79c170031384227813a7498f3813065411a6e1a45768346d3b5bd53f562
