Connected to /dev/tty.usbmodem1101
H_min: 5.9320 | R: 1100 | Data: 7fdce90e5699ab46a058073ce8745fc924a5440c8b100da977fd02b99def4c107e442294b030816b675ab6e03f7d32183328d5c3ef80e01197ca3a1acc111f3d7b869fe55fb05525e0935bf64743ab8b1cf44a19a57743efd8cb4a1010454e7c4995e5ded1bdeec3baf1e469e5544fa8de621beff188b30c7b5e1c75567f324c
H_min: 5.7541 | R: 1127 | Data: 311ace68fa12d02cb4125f75a1800f26b8bfb03dcd637b10fa9e13f8fa654ea5d6685558b25ed8b370831a12444242d86ffd660afb6b90e162260e5750e1291e3ff87b0a001632e2b9e58e292c7c9ca7171648a497c584a97e3c784324ae225d532f0bc061be8ea177cd78ae9c05102263e3db91bba5a4798a6c5363ba00bd36
H_min: 5.7541 | R: 1112 | Data: c12c5ebe012d97e96b37bf6fda06846d3fc2172abb99123e894d7067dab2dce6d9e0a80e67db64ba25b4a9c26a24c8494f81cf836d7263c9603957f98b015e2aa6c01174be17e305822ed6aa1c261c4ec7b4c9b10c8cab3db2e6654503e922028ebc512b9a0bd2cc265e88d5327b306c38f69388a2229352c6e5d30086cc1b30
H_min: 6.1425 | R: 1108 | Data: d7b60b80ca3aeee8a675ce8b2feb275c4945919b542f85ba66d97e42e63d00dabe47093168f38584700adf89475bd8601a43fe996f6631833b760e233031f7efea946e45c9936cfc0652dbeb2e52683c046f68e5cad549e49138e548712dc9d1fcd927f2275034c601e6250d9d5a61329aea689fbc6042fd03407344960615eb
H_min: 5.7541 | R: 1105 | Data: c03f2a1e024b4ec0b43e04e5ec044391b89cc8f8ec36cc72119505b97d1d36831c8c698b9cff25afde0990605b62acaef8c6cd405774bc7019ae4d41505f34465d7b6e97af71a6882e351f95d6231941bad3bbcd77b688cc2f749e2b349f2f92d026a6d6c37a716a9e0d127ba94e6dc51c33a468d98085ee01ea3e22c1ca5c2b
H_min: 5.4641 | R: 1129 | Data: 464911479f3ca6392b16b887af4a8841490d1030cf7e428d13741e0dc2e25ed39c21f6253ea1ccadb2b029584c16ee0f1bdccf617893972076c2d588d42e6c84b6b502c93014b35486322492b12342d08589f0faff7dcc3cd4d282bcfdf5dfb10ad2d859e689cee9e7cb14434d11d50492bf768cbaad39b5a47af2caa1354790
H_min: 6.1425 | R: 1140 | Data: 91dd93d9956120d12315a4e4c4a908c7e194dbe4a79215014bf0af8b4837ca62b39913cfa6a933f93d305a0d38a0f2667968de01fc9cc04cdbf3fdcac39be9f8d0fa71f06d3b7929bb93cfbc85269116678086eb73492718c7d8a9c332fe08fd30d75bb15a1197ce577bd8a076cdb71c5100c656aae30ca630041053c5e3fa3e
H_min: 6.1425 | R: 1118 | Data: 44d1bfbf3dc0ab4ea8c7d3867486f25d1ddb450b37d37f6f04b389b968eaffd771a351bb2730e68d60065a41b08010a575003e56c23ff7d6a0b2a53fee1d907c33e6bab9c51af59f4c40aaba316e21a460246df7e566a174474dc3476dd55b2f0f62182c185a67c33986065be289a54694ac6fd34683f33ac00bdfc0e9d8d58c
H_min: 5.9320 | R: 1108 | Data: ac32e8b093582e70beaf775078627121f4fd43298ba8caba9b77fe733be82cb4ebc68b94dc6da599e58cc62903cdf294ba41f7a3a8cceeca7346bd376c3dcc8e3393d7581bc8c33447a16577e3326c8a5873aa4fcacd91c76270fba0a7598d1ce2c7045fe843a1ffe17611dbe6e03b10ba9633bc55ac64c81aeea10059d4c3cb
H_min: 5.9320 | R: 1107 | Data: dd0ffb662d1ab3d4e7d5a27df0d9fd6909c4a0ed76322fe6e97c77527bb0105d08492fcf8badfffaf8bc643a223944ed3490312af801e54e126c3ab6c64f2497b9dcde2cae620ae860462d6e2fbfb53416f8994392486a3e60fc1398c9209cd6a99cc1d806a23bc2d73dafe13459c314e66ee2929360523cc51486f326e46e3e
H_min: 5.9320 | R: 1094 | Data: 7bdafd4c9c12ee544b8e5dd06db401a2b7ff164c3298a97536e79f35017d386ed8f2b123485199eabc6e179b6a98a89d6c3fbd218cdc377f17c566f93f6e12e069df644c13af7b28b2bf17f4baae5819165d7b4e045ac9aacc5b8d23db3dd848c704cce6e4682234b9f43faf3e4fc383eb312e3b2ca606f3c2b18d6ec3bc9fcf
H_min: 6.1425 | R: 1106 | Data: 7b02c42371a479e96cbca304add8887586a69ce9bca17fae581fa062025e5574f0287bd1419ba6f9934aa6a96833b2e515f4f7713c5e642987b612d51beaabbfca30cce37d8e5ddc853d6229369c995cb40a59266ad8444e8c4631b139624b09c9a2eb07cfd87fc2169d5749f7b1e374dc23a082509cb9bd927de7f72d056522
H_min: 6.4000 | R: 1131 | Data: 4c954dee66eb04fc0890fa32ed83518dc3a2e48464aced2c5383296f56a6a9d3528b33b5ae4ad02b5b9319b157baaf21da32535040ebd1e2e38d5f8b9c706b850baec899e6a52ac3d57ca736d0c1c5406af02bd50fb96d491dbd379d5efa3cbd1fb133f0928cd7951c686e2c4ac5d0c2001704ba81f185c895744d62e1ade597
H_min: 6.1425 | R: 1120 | Data: 463ee6ef14de45b5131953673a23a51f53b18fbed662f63af3b3c6741f81a0fcdda8fee8cd7e7fa8a0a26ba28330f75aa87c8923d4ba01f5df707cdeb0fe48fd50d387baa91e00fe44579454d667169f5177ed9843da24ddd1f0389a82db30a25d9d946b6e2c4a5c26afe5dfe1c53044567f2cf2dc4d8cb330849672d7e4fa5f
H_min: 6.1425 | R: 1139 | Data: 7571809f9d88257d4064c84079d505b05405a70c05465299b27aa497e84e12388ca378d791296a5bbfdc149cbbfd38517cde37d0951d8878d22ae0147750719c1a7b30485f95111b4ffe492b3abddfbdec1c9d2c3e2a7ded29b111d6b48fd30faf2d490f2b8c8154a63062586aa6286b55071dc7cbf1541a2151ec1696e98502
H_min: 6.1425 | R: 1109 | Data: 61314bb0aad869205e01d4a6cedab1212f63bd71cd9160bdbf4da104ad0fc5a8ff55cd96f00326f6278fee8c75b2904eff866159cfab35cc08a39ea951422a80b1bba2bad994c599725cc3a4efb5013c79df45fbb80a99eb5645b214764462ff0181597f74dcf49bed137c73986ac92b73a0d6368d0027a94057657e6986f699
H_min: 5.9320 | R: 1133 | Data: ab9655814fd982da5da4653f677b6b34f07acbfc01ffaa030fd034d326cfa36bfbe3660b7505ca83f3a78f22d51f87ee74b8e9c6ba5ecb45f2bcf767d2e83d20f992228c4444ff1b28dcca095065795e2eed0133a701144284d1c3ed39c85408d010428c9137c9c2b2ad3aae4e315a4d6c81410023c6fa379bde156c976b1175
H_min: 5.9320 | R: 1124 | Data: 13e45e62347bf63c91bd34771789fe78e204542f1135cf35989e8db4a4333072319ab87c201ba195363f4ab7daedb9998effa0666d3aaf5b4a73eb74990f344588b55da07f4a65a12f4d7908ad13b26e08b483b1dfe2990f6fcead832c2277b8f14b3ed44c31b475d1ff80d6aee15f39390e691cde6768b077ea480b14a69b89
H_min: 5.9320 | R: 1132 | Data: 3bd2180a32b1afacb121dd8470d887f37b0746c391d9f8258c17da79c35e12fd124bb71986a166a0eadb650c02a5f29c00841b72602bb2d393a54328a5fb5b604be01e295fe248d7c44b12fa745c9a1f53939ed0df4b64c59e100a4419e387b76cc15ca300203272802645bcc0679202623ab1e722f43996dc17e9b3fd8e0453
H_min: 6.1425 | R: 1124 | Data: 63a9c8d35b5ccc361aa68b863dc410d556aa1f86dcba895e0cdd4cff1e964994b83704f18abb103a03a47b8ed55ec0281e09bb57b7e414bbb70b6084ee66ff38884c25c76b0064959f2c75c43ebf7a733789a6430fb1df9c188096d81186f8e76913e48903d4eb89f6eb7417f7f7d901c87c97618326045126fa0d6d0c393b12
H_min: 6.1425 | R: 1120 | Data: 6d722f604116a8c135302a29312a3ca23030bc78c08a28f3e2d39a0ac20b1e9d4cd689b5fadca8f98ab3676b4191a90bde6c787a86fbefdd1ae8b345631e2a9766708a4e36a2c3c7b31336a951cd97be5efb9f6212dba9fc97ff73d763bb6404612c7a15834bd9e51b49a09ae2391112b7d47ff6bde02c8e415f8d5abd12f9f8
H_min: 5.9320 | R: 1139 | Data: f6cb95ee12ec3bbe7baf36e7933dd9002a16be7bb74a634a5e0303048ec00b0aedaae95cb5b954e34908423073dc10c6c4dee16eaee9966ce020490f002ed70842eac37545554e5933bff9b4485686bc12f282e518441f62bf69856b37440b23039d2f49571286029812d2e2b7e22912ff080e87c8e00d3305a0ce12bce7bd38
H_min: 5.9320 | R: 1118 | Data: 4d9942fcab4a14fc01c982dbd003689d3718245536efc4202e2a1a704638973f597d7515d0d095a8d096fdccfb3fdbe1afcc6e5efb1324140fa2dc6f4d5a25ea31fa2b4c5baacb35c7724ded6da43bfd4b09f140825bb6ac024571b20e7bab91c7e89f7f85fc709db3136856218582ff2bb46fb235242c9296df97d8ee7cb717
H_min: 6.1425 | R: 1127 | Data: e49ace7b91ecb5107c73240c6fbdfd363f653fb59e62d533cbc4e51c9f50507b3b6d50e8e10f1bbd7bb7486f1c7d104b434abc40b2ce029819ecadd0877b9027b53a0723ceb0f42d97ae08b6afb23fc7891b78c998c9516fcc7b9cc75722036c5531986ee9b2d223161eb7614d2591c43af56585c5ee364023e8b2fd2d4d09b2
H_min: 6.4000 | R: 1121 | Data: f45ec655a790027e119a9da46ffd4256d2957fcd9f0f4028a2156cfe9907e6dc3d5807a0f72ef4d77d4fab6c6623dc0618d895b99bb29f417bbaa288ea180e5d7194728aab95fc967b1ae2cef661779d5d9986a862f37c70f24365ef002e578ee50f076fa18d68aad55c849ab11b192c80950c6935ad901e79c521dedacaef24
H_min: 6.1425 | R: 1107 | Data: c0e26e127c970acc01ea6f47f475e812a0cc053d6012390b290a8c47da97097bc5919a420503c6d9da8ab5a06ac21d572a2c0b73a389f37069738cff906ae45dc61b9ae2dccd3c9bfcadc894ae9ce0e791f51abb98f71a95b60d9f555d2fab75faa3f2da923223f5f6f7efe91efa660e15955b9c7be66e3019ac6e8e2956fa8d
H_min: 5.6000 | R: 1130 | Data: b6bda7bd23f429af89fdd9babbca0cc084c7ac2c72117fa4a63abc1d25ca1c68bd86e324559f89ff6c3d4a189850eb82b87c7f498a3e2d1daf23d0b29d31c4c5674836d81aa3ddb86c89ced02dd87f8c9bdea06f6fa92e6aa89c7d14030fe727c118b158638e3523e15958d42e9b7550f157847e0b01c1b3202172846f58b95c
H_min: 5.4641 | R: 1120 | Data: 45bbc3c0cccb6509a2d90b15e240b851a9ba08b3c1746a1c21f1d0a113fc51e603a4c8c092415a061644c0921952b547008492f785027dedd5f0fe649330e56016a3fedddce2706aa65b799f507e322926248b4760e07c613e87f3d9bb8b9a92c0af5e65575c0a8847b0687e2b3114d52028b952afd54f6df9c4d4b6aac877e6
H_min: 6.1425 | R: 1115 | Data: f6aba9793221404e7244100b6987c92670ca9046c83a070b162e5f6010aa5302235aade25855cc01833993b7988ea8a84beadceb8d4a233898660743d54566d6aa7ffa1346cc7b972bf829ed9d9a73ce5875f0db3c9c0121c3e1147c56aadfe9e244493c52a324ccfbfd6cfb747282808831d79f8fe0fee794a19a3d49c236b3
H_min: 6.1425 | R: 1099 | Data: fa59610b432069a83ddd15adf11319381c40eb7e5e5435386542d600c953fe12c157f03f5f39ccfba6054120d33ed934e348853401370f411b2b09eae3c60b1cab511387ea741ddbfb2cb6d857dd9e02ccf8ecc6edb697c1c9d333dc0268f898e01f9edfb4af4c2f8e608701f82efaffbf1dfd07204fdda15de27cc43bb58fd1
H_min: 5.7541 | R: 1111 | Data: 20fae8bd2afa7c6066a78ba2413cf23efe488baeae4a22409959f9f26b72868e6e9aa7a96a160d5759313b1289c556751ae7703597b17be8abe36ac9d7ae0203b37a5a1216f54f1fca23e03a316112abd9b49c400a4ede90b1afbef7606e668da8454ffdd6044fba25c5d17feddda94249aad73375d977fa9317b61fb3dcdd90
H_min: 6.1425 | R: 1131 | Data: 04c3b78e29a8bf59353b2933638f84679177777bd8412c07dab25197e4a338e4268dee38b807e5854f5eef0a71040c005b553bde1a25a484cae37cc9c77dd1fe3a140ccca0421a07087c7c6470498a6862d08971fbf0b63fcb1d57ecfb62f7951edcbc3ae839455946eeda1e700b0a052a30cab254fd05b70980d9b03e931c34
H_min: 6.1425 | R: 1103 | Data: fa9f19738c9e5e69585386fdc4ed6364c8472a88f1f5d83f186b0cc7ccb9da51f6932404d21ce2a2b24f946e0026942f3d2b720e71e9f64de864c456c93e6d9b5bb8036889ef0a41a217cf2be2f447fd572a34f3c026786d18776828a5e5154e77ac4c3c99120a0383ea03790d05760ffdf3b40da810372a28828eb9208d83aa
H_min: 5.9320 | R: 1129 | Data: c75f0328ad97a11aa74f09b572309ea3b8f94881aa00c3f3a3993b4a2bfcc2107495af796b3e79c1e68d57c0c6b2e2a594b6712f03e280eb1bb130cb917a5d13af9790f930e40525eb72c146764a8aeaaace45060d544da59a92d58e04df89d50aa0c446cee937cf927a286f666a84013bc22e5a1c2bfb8aad66eb2d0d7cd027
H_min: 6.1425 | R: 1138 | Data: 0e6366604b587cc1dc4cdb47fd0f1ed6013ca5b8f031e8a0689d25d5e1192815aaa52cbfc2a4f1f9d20b1e5d925e6341fdc3f2e46a61ea261d11980661fc65e6036ad82e25230a38bbc3bfe65e5d7aa3d3a9055274553438fc8f26c46158d53a6706f0124d20b4978d690eaf1dab1915c1d034b7d86711a342360df7e5101a01
H_min: 6.1425 | R: 1098 | Data: fff4cb79e3b611b4eea16373a24c498e872a9b7fb172093e5bfaac0d85c07daedb6051cd1c249364aad3dea5afae6dbfb5acd359fc40100299c3cbb8764619b22188fd064b2e8da5517e5698da16557d8a8c31d92179f849f9b8e874d9f363ccc11996ea5b4fe57329d68aef9449a7ca61099654c38dc1edec555cd1d4b7816c
H_min: 5.9320 | R: 1119 | Data: 2674313d84197ae53952083c3a9d0166997686fc0cfa0a72a5b474d087a6a9a8892355a15f5bd6bf77a9a510c11d0cbfe1561a72a05a7e05afecffe31703a2d0429d56bf4da1ae88892ab544239921a4e9eb19189d2447acb1982863d059039592ee6b3de8d397ed9477c9b20d905f7440e4f6fec9a55850e065e62a7d4a9afb
H_min: 5.9320 | R: 1118 | Data: 3b2016fa6c24ecb82aae9238e1ee815240bba9e781eb83a5607f2c823981beac5e9c9e89136a7d5ef0430527fab7bad44a122e68b0d047b687082bdbbdc6f4037fd1daae23015bccc8455452d9b1aef4fb8398377f5ea5cef9322ee79d6d22195da4258b54e974eff8314253f2736b8031a48ad30ee459056c67acf00aeb897e
H_min: 6.1425 | R: 1161 | Data: 1c2ba4c09f8fbad70ffe0fd61fab590cfdf8358c507ee28cc44c75d9a037f2727386d9251d17ffef3cb4149610f6889e6025546e0d6e245cd1c6718b3899fd8a824f0b21f9d90e77a9b5b1ffdfebb621c04e441e60616ae2c1a0313e06f18fdc40e3d8185bb5ebe09f3ec67cfd27c40881345bc3231f8d436a5f1bb93284da04
H_min: 6.1425 | R: 1122 | Data: d67907f6dd41794721bea7d0dd08f07f291497e2ff4cd556939c9869a0f3967349b33f933490a55a8a0e99db804d3622b5067f3235478ec28fb3bef3e15e69d782cfa4e12517f51780dec90e3a6d62425188aaf55990bc08b15c37f32bd7bb3486c19edb4b83d3e5aa4cbda90e2030b255d6a4c94590ef00a58cbbaf8dcf8c63
H_min: 6.1425 | R: 1126 | Data: caece531692c3a1fc158354a55c6ea104cafc16fa07e4e57329b8118df48d36cbcbdc8a50759bb831e192adc24ed4e72e7279a400eb662d4c588c6902dd59c6f3e100dab39e5b5052f8d2d9aa17d8cdd3c30048215323534ab146a26a7ebf8b94ae159517df4d0acb25cec67a3eb47657ba7a2a0b0b6017f1834dbe84856dbb4
H_min: 5.9320 | R: 1148 | Data: e53e55ba400739b030e6642b71c18997cc4c9bdd04362c46c6cb0289094a6e6a8b804add2e3ee2efd478d02699700b7b726333372c40516637b73dd214f13c5fd18fdbde8e0d22444d959a95bd7547db3bf92bec127ef6e9109709c315ce95b3a2208c3267d7455fb364a1cc4f11d7cb4676def41202bc95c7e645ee362fb899
H_min: 5.9320 | R: 1132 | Data: c5137edd76dd4110b6870b1774c162b2abd2a8dfbdfbdaa7ce7108d7a055196ca511bc92a76346ed5fdf5fc6c944f8e6d699a497eb3107aa541f44de08dc27e9fb9b85d576e290a5cd294e9ed7a828246d2873f044afb9e327f7d48a33e3c731b5567dbeb07d5dc00d8a04b9f27e68fa616f74b081c9a25a48adde077f3cece3
H_min: 6.1425 | R: 1130 | Data: df334a4771b37cb0f858a949da7d60a75ac90d004750201516fd1a237763282d9686bd8fe14e06c3c1bd0cacf270b85ec5005191b4bf4a2c6d7392e1b49ebeb697d583e17d42146056dcb1a0cbaff2d8cfc33723b1ea021206be89d1072557197f32d08205ed28e6f6e0a9a4f73c0ef62273400d99ce065a11b6bc9ec2ad120a
H_min: 5.7541 | R: 1135 | Data: ed8bc68e34caae650850327b7b507c7c87e78ba754f0608e27c7b9850e208d0b477b345d05e68e77e66b68484a4f0b20f7877dc53e44b1fb7d81d8471e7dedc2282a4f584e3b8c8bbfd53cbc27e7acb58e79520f93a9c8b56b832c477812e3dc8105728612504e8068e3095f8534a88d8946b8d2e51caa7f396cc4759651a834
H_min: 5.9320 | R: 1144 | Data: 50b1c5b59f33d0988d37c10d3d538338ddafe16cb120c5f499dcc1af1de0beec5dc9bc2300422af430b8740dab8474c08100846cbf0fda358bc1299bd02235c6e3844afc729f93713a002056a22fd1db7b844618e631f05febba080b2e90e5428ff9c97f5ab3ab7ce2ae31610f8ca320398d659f1b281c5279e22a3d5030b9cd
H_min: 5.9320 | R: 1117 | Data: 56954fa372851d703742fec41b41398ab7c3d3e42a8ccb92d9adfb93e20c655cb195e7b4baea70be8efff15538dba2575db62ad388bcb3c7a5e3918a46508ff6825877b4a6564f828852f71a3fbbd697477897348cd20bab752bbd08ea6a2a1b700b3f84d15a9b3f03b92b3f214549a1117998ec1fbee54442c787ec5f5e9945
H_min: 5.9320 | R: 1108 | Data: cbd49c3601d0a1deae8133031f3580d08bad13ecc9edd0c46bcd7b785ab8da9a3ff38e7acd9825f465429da811d441af5337021a192c84721c7bf668b39047e9925250e6bb282e03e791a51f581879e6af8dff1c776d38ec605fe08a1ab0943a909b171b00c6337492ed39b0a2160d1a709465b3567d73eb2cf65281699dc681
H_min: 6.1425 | R: 1163 | Data: 13ee6af0b12ae0d48846ca762552844061e408864011240183f3c83dc44b68660240dece7afa7464b517eff51ee9779f57892f43a4324c45bc3ff9dfd39a6bbf06de64d944418be57290e0a7c1296b25dd1b4fb158863603b5d4db32946c6e2fa37f2d9ced7f83d946e4d7c751137ade258fac36e84b940731bf39fd8030844f
H_min: 6.1425 | R: 1107 | Data: b2df8fe97aee943bdf1b05b98d13f9d323d9f259558c4b01055991ffdabf2a27a6b692c8c37cf4e889ce6b957fcd998a52808395383b9db050c19d860f134f8387f7ad1fc352a971943e55cc01487f822ad0595e9453b347bd6bd754e01927ca82ab74a39dedc46a65477613573779b7ddd666883cabcfc082137c361d9346f7
H_min: 6.1425 | R: 1123 | Data: cf818143afa1e12d40d23b8a4e07c00c8900c5c91a3fcf9fcd880562060bf48d4866eae312469f6db12b8c31d226cfeace6fe529513d46dba2543e3ff39412521e4d01f8f0d044ef1529fb9c4f1cd029668e10531bad57fedcb653655750d5d41bdc5f6e889fae6d2d2367c9e6350852299d514fa779d110fa51094e19a7d1c9
H_min: 5.9320 | R: 1119 | Data: c137bd32c65281a56912ea5bbc91fb144b5a072301ea98683088cfcf61105a09e6ecb2ee3b14e6148503d4ee1257608318d5a32bb84f149d35b6af28b18ff9f82e119630fb0c9c50d8d6d1c06dbe6cfc1b2d65a161145d2b86a0802390d85b9052765a52e72d4d41d12d077189ed8e501b34ed29e3b79ebb2cfeda7444d3fc71
H_min: 5.6000 | R: 1135 | Data: 4f468a454a71c41f01bba60aa21ee609767a78b15812f0e6b38d49a710af9769d0a5108bf815196daba9d125716fda23fc09f1e80f5d1e658c32773f97c47ad0421ac52d2802536c528c95e1982cf8ed4d9336c3c1524d6e239683748a5570aa1ac37241e8009000828c0c3f554b9dc401ccb4a2c999a1bcfe2c3006157fcb1f
H_min: 6.1425 | R: 1129 | Data: f02d4cdb279450c113abe8ee1222df0b421951eafd8a06a8b99fe49ae5b3c53b7e7a86a33185e1b253f611766b1c7f7729a99e949072cf7934cb529724ecf5f704f7e2c7f0b00db4f492e15d5a9325847ca5615a4db8f1ea63a19565b031111fc0804b51be79a090e4cc612dc4d9ca8544d19b4eda022c2989aa5e87e36d5806
H_min: 5.7541 | R: 1093 | Data: 575102c0c7214144a4bc54c13b2462dfeb3b4eaf16ec5d534f9b7aadf141762c021f74eaaefdff1425092dd35492fa06be5b551df8868dff434bcb3bb685f92abb47a3f5f51bbae4588e1aee364ae31500d9a7cb5f337394aa888fa357f40b82169265f3941f711342fa3548517ad09d8aa618816aa8595d249f8ab6d547f107
H_min: 6.1425 | R: 1119 | Data: 7989106bab4ff33a13b26c8893e554b60b8db5610404cbad4477830f6b2125ecbe3036a7bb5b53571b8c676eb18e18267a30504ac8208b1127f68075553d475b4471fa281dd7a25a28979b70aec7a090d69da36d12f4db71908d8d55ed8107786e9a6ec6012509a4cc02e73182680b43cf75be980464f7918787ddd3ed7d68b8
H_min: 6.1425 | R: 1124 | Data: 326191dcefb5a42279c221f9128f89c1f2f02ce320112d75f84f84d378a845029f30dbf9a358bb28bf2f4cfbad8393e5abdab2a53349e9eddd342444d12ab55da4459c304c9af28977300c218ee5df86a7e40632a65e7980eb00ceec4646f3936c7878754b0f86105d61ea1f25493c28d2245029db6f0da1ce95e2a5c2fa4e57
H_min: 5.4641 | R: 1108 | Data: 152b71d5dfe49bfaf5b94e002a42c2b4eb5200224c51fa26dba11f546bd8a9cea548aa0258b8f8d39997de7b8bd7c420f13faeca75d6b0d04da82647b4a7735d5a7c26150910606d3c361ba09a82fbd0f430276220eba36c3ce7c6db71537daa7dc6fdc5cf9b367630422162ee7249bc2bf357d73c357ae8925f503caab785a0
H_min: 5.9320 | R: 1129 | Data: 915b19d5d62b8c575cca2e26d51bf076341e3bb235bba255d5039f6b8b285f969b2f95fd40505532326a3a421065497e21750168e1efa00777609268c6cbad68db3723418f17b05da48619b2ba4c59723642e4c7d42208236c20251278b6e192376ac76360e922f09dd88ec97f0f6cb49ddafb20d613caf6c5008830247e0a35
H_min: 5.9320 | R: 1135 | Data: 7389e42b99bd5e5ff264c8c781c9798690c33060fb78e174a10aaedee9b34ec812de8ce98e130dc8b899e6ce60894a9b40ad1fbe7fe3bbfa89bd483965fa8f615cd1f865a870a46547048ec2b53cdbec1c1486477251e30f55533a69876a4df12649f1c6d53bfd0cb0ee73c16993f7fe27731c708ca6d60954cfed8f45947a45
H_min: 6.1425 | R: 1092 | Data: 9eb06e1573015ec4cc5eb01ba2daab42ad9634a6db3b99b8721c84c5010dae2ef11bcf250c765421d89e555fcd6a111f0b1c99e122d6a5a10e7a97641d72752711077e83ea28662268e30c8843aa6e00334292e268971beb3f8ebc7d6ce116fdf5a8b741853be3e0f4ec1d94b5ea890f3b6f89dd5be331cc1c3bfa61894e677a
H_min: 5.9320 | R: 1110 | Data: 09dde103f99f2e1a1d33e8681c9c9563ae53b18b48defdb8541fdc7aa6221e4ccc6db253b74a44ba053c3f5f4d141964e2d228d2dd4604c15846be61b20f499187403b9ad4c761a5360b799df9ed3e8eea53ba633735d99c9d08de0267e6a645d0ba37e52e7c2c832dfc5cc9efe53f6e34ca63975411b500fccbebc8733ac798
H_min: 6.1425 | R: 1098 | Data: 7223d746ddf68d5451bdc85b32970c422928372c6e6b16066db584e7555834e968eb3bc78914757efaa5b69018fba1e27956dce6a011a8e3339b6a153d07a596aa96d096c0c818f2f100acba2525237130358a21b18d7a36e6d56ee3a5ba24cef2a1e7d112251ef1fd2ea3b5aff0c7bdd0452ddef6731286347f05b70a0989f7
H_min: 5.9320 | R: 1112 | Data: d9f5a12a5b90470127a492759479907bd06c2f5bb1cc75e587fffc387a2fbc703bf7f2c7f181cdcb3fd02c91ed9b07c50721586cffaba0ee151d090843066b6b93d2ab8e70006bbd8a67dfab066c8dbab0521c56d0f9dafc01a576e7e465ab76133305413964d1878cab21f99e6580be8bea1f04b0ec24fa4d264f37e745b387
H_min: 5.9320 | R: 1109 | Data: 36e05b57ad1d531e26f83c71c089c763772d896e36c6475f8e0aa78b314e22843c3e0b8381aa21c28a9c6115d37fdd7aa0b996a98dc0b87402f2390cc7a9f5948957d6b17baab0eb4a0f215d51e26b0a4a3c1667c3998b4ab96dddc7162e3fcfd0e95d107471725a4ca9e45d4ec0592d0303fdf7a2f989efee77df9fed572db6
H_min: 5.9320 | R: 1143 | Data: 5f82662498b750c8ab149875af6edc209428e857311046713763c2a90dca6ad6f3fba2cd670c6d00bf3d73f35db13e91e8dcd74846c8c4d56150048c86eb0aec5d72dce47da55f661c961ae977dfffcbb8814e2786abef46d3b2d5485b0e0a21cee4ea095fc4c6dc88ef0e0558679a0a0ff810189fb19466122a428dda9c5bb8
H_min: 5.9320 | R: 1103 | Data: 99d0afe95ba404d36431fb8a69dd1772c301820b4caf7bf87edfb4a4a754b5938410050b3fb757f3534e89e106dea8100a7046c91c7becbdd152caf2e0c82d29d759546e515ba35629dda5c987f756ec64ce966e1f88ea9373b8c5d859645bb4b0896159ad2b3217d78bc936cf8c2a8cca28bea0b8bd80ab9df7138eeba2aea8
H_min: 5.9320 | R: 1114 | Data: f6093f59dd3968dd96cf02325f15f51e06241fd920b0823880cd76bc104e0d25d591e9441569a0e4250b8d2b8a29288bd4a0c343186340330f0a69a29758b11e47645244d793e242aced3d7fbc6cf6cc27de3bf2f9a76f7f0fd7adedaf6fe834506a2f40167ffda1fc2162330c1fe8b6a22cbebe687dbb2d907d0d4919122c74
H_min: 5.7541 | R: 1119 | Data: 0e45148e50f6d9b8af4c6a06b2e33c9687130f3d1b050dafa0d2ff385efca28f0431cfc827bd056473bd69d19affe8d749e495e6622c6eabfd82e23d18206bfd1248691c733c4fb00a1ce4ab43e1fd2a05ceb62f448414518d529100327c7af1952d94fbae8883c317400295bce233394b9aa7d0b2a210f92deb964f31ad6cfc
H_min: 5.9320 | R: 1110 | Data: fae418a617a83d4124fd9130a5ded74326852a3541e366b3d9c8d06e63b3cd082509ce5174204eccbcc132c5bd517a4e1a177ed1903ce215f58389d77975187654605a7001bf699fe6e7db171628165b2ec03757839a0d40fcd17697656827a9954b6a1e4edfa4833c6e2156c12d61eb14d97296f7f9be49332bbab317bd00d0
H_min: 5.7541 | R: 1129 | Data: 20a3748afd2adb69602e8f2dc958388a6cd550696e183da03e088e3121c32c9f63982569ecf9ce936b511d897a341dd7ac1efdea58b5b1c7fb27788b7c1f23b41c1b069ff7c30fbd4e1ae700884977264229c13fdc3f7c5676078afa5c82aa3914f5553d73ce6614162f2f630b16d60568d9a6eecd54f778b2c4b28733e53d44
H_min: 6.1425 | R: 1128 | Data: 9196f2e2889d202bf4a8d17581919169d444a13db3d77a2a43f6940972d2252c035e83355ffbd40b2c084119675393a841ccda51a98253a99fcd1f201744574a922425fde57a22dee11047df5a6f5a3e12eb8a18d34dcb2e23b020e3b657deec6a79bd3939e840cbc1096267af2dd476702560c1e112957dc2adf58d8d2d315b
H_min: 6.1425 | R: 1160 | Data: f7e8908247bc81d84f698aaaf6620e36f4b546575863f05fa4e209ffb62d5e771825aa4fb9fcd12515839c4a7fa60980f02ff26d639488f87ad11c91831bd94c3cbfe8f309032832c20a1b0c1e72da596b03e940dc7af3e811075cd1f52ff731d4431c8bf2d44a4833cb960ba989230295bb9b6ebdd24ca81a26593df6ab5b8e
